Crop,State,I_E,Model,Value
pdr,AL,export,shrs,1.23891E-05
pdr,AR,export,shrs,0.150848532
pdr,AZ,export,shrs,1.13043E-05
pdr,CA,export,shrs,0.160323923
pdr,CO,export,shrs,1.7456E-05
pdr,CT,export,shrs,1.63244E-07
pdr,DE,export,shrs,9.30353E-07
pdr,FL,export,shrs,4.4087E-05
pdr,GA,export,shrs,3.73089E-05
pdr,HI,export,shrs,2.89577E-07
pdr,ID,export,shrs,2.55567E-05
pdr,IL,export,shrs,0.000113108
pdr,IN,export,shrs,4.75059E-05
pdr,IA,export,shrs,0.000281883
pdr,KS,export,shrs,7.52784E-05
pdr,KY,export,shrs,1.77415E-05
pdr,LA,export,shrs,0.052007322
pdr,ME,export,shrs,2.57864E-07
pdr,MD,export,shrs,2.59812E-06
pdr,MA,export,shrs,7.57081E-08
pdr,MI,export,shrs,2.47754E-05
pdr,MN,export,shrs,0.000118078
pdr,MS,export,shrs,0.022208405
pdr,MO,export,shrs,0.025065832
pdr,MT,export,shrs,5.274E-06
pdr,NE,export,shrs,0.000141778
pdr,NV,export,shrs,1.6689E-07
pdr,NJ,export,shrs,7.61813E-07
pdr,NM,export,shrs,4.89586E-06
pdr,NY,export,shrs,1.58545E-05
pdr,NC,export,shrs,6.02966E-05
pdr,ND,export,shrs,3.10973E-05
pdr,OH,export,shrs,3.26691E-05
pdr,OK,export,shrs,2.295E-05
pdr,OR,export,shrs,1.42655E-05
pdr,PA,export,shrs,2.43875E-05
pdr,SC,export,shrs,2.07985E-06
pdr,SD,export,shrs,3.91906E-05
pdr,TN,export,shrs,5.03947E-06
pdr,TX,export,shrs,0.02899183
pdr,UT,export,shrs,1.74928E-06
pdr,VT,export,shrs,3.27289E-07
pdr,VA,export,shrs,6.05389E-06
pdr,WA,export,shrs,6.22933E-05
pdr,WV,export,shrs,2.16093E-07
pdr,WI,export,shrs,5.9895E-05
pdr,WY,export,shrs,1.0017E-06
pdr,total,export,shrs,0.440808874
wht,AL,export,shrs,0.031099521
wht,AR,export,shrs,0.027657683
wht,AZ,export,shrs,0.059217927
wht,CA,export,shrs,0.114467473
wht,CO,export,shrs,0.22565981
wht,CT,export,shrs,4.39577E-07
wht,DE,export,shrs,0.014998099
wht,FL,export,shrs,0.002526593
wht,GA,export,shrs,0.016376081
wht,HI,export,shrs,7.73127E-07
wht,ID,export,shrs,0.311041122
wht,IL,export,shrs,0.139990044
wht,IN,export,shrs,0.073989546
wht,IA,export,shrs,0.004491265
