Crop,State,I_E,Model,Value
pdr,AL,import,gvty,9.97551E-06
pdr,AL,import,shrs,2.72075E-05
pdr,AL,export,gvty,1.03936E-05
pdr,AL,export,shrs,1.23891E-05
pdr,AK,import,gvty,5.47912E-07
pdr,AK,import,shrs,2.75082E-06
pdr,AR,import,gvty,2.70889E-06
pdr,AR,import,shrs,1.75776E-05
pdr,AR,export,gvty,0.120997098
pdr,AR,export,shrs,0.150848532
pdr,AZ,import,gvty,4.42891E-06
pdr,AZ,import,shrs,1.62654E-05
pdr,AZ,export,gvty,7.58456E-06
pdr,AZ,export,shrs,1.13043E-05
pdr,CA,import,gvty,0.000134703
pdr,CA,import,shrs,0.000323438
pdr,CA,import,port,0.000161207
pdr,CA,export,gvty,0.135181355
pdr,CA,export,shrs,0.160323923
pdr,CA,export,port,0.00890523
pdr,CO,import,gvty,4.23326E-06
pdr,CO,import,shrs,2.07143E-05
pdr,CO,export,gvty,1.17756E-05
pdr,CO,export,shrs,1.7456E-05
pdr,CT,import,gvty,8.55677E-05
pdr,CT,import,shrs,2.56542E-05
pdr,CT,export,gvty,1.61188E-08
pdr,CT,export,shrs,1.63244E-07
pdr,DE,import,gvty,1.32941E-05
pdr,DE,import,shrs,6.9077E-06
pdr,DE,export,gvty,8.61712E-08
pdr,DE,export,shrs,9.30353E-07
pdr,DC,import,gvty,6.69424E-06
pdr,DC,import,shrs,5.64774E-06
pdr,FL,import,gvty,0.000113888
pdr,FL,import,shrs,6.40672E-05
pdr,FL,import,port,0.000414532
pdr,FL,export,gvty,3.83672E-05
pdr,FL,export,shrs,4.4087E-05
pdr,GA,import,gvty,2.89983E-05
pdr,GA,import,shrs,5.83578E-05
pdr,GA,export,gvty,2.03021E-05
pdr,GA,export,shrs,3.73089E-05
pdr,HI,import,gvty,1.05535E-06
pdr,HI,import,shrs,5.74107E-06
pdr,HI,export,gvty,4.06326E-07
pdr,HI,export,shrs,2.89577E-07
pdr,ID,import,gvty,1.22916E-06
pdr,ID,import,shrs,6.36329E-06
pdr,ID,export,gvty,1.58654E-05
pdr,ID,export,shrs,2.55567E-05
pdr,IL,import,gvty,3.88846E-05
pdr,IL,import,shrs,0.000128949
pdr,IL,export,gvty,3.13357E-05
pdr,IL,export,shrs,0.000113108
pdr,IN,import,gvty,3.48051E-05
pdr,IN,import,shrs,0.000100784
pdr,IN,export,gvty,1.24174E-05
pdr,IN,export,shrs,4.75059E-05
pdr,IA,import,gvty,8.21509E-06
pdr,IA,import,shrs,3.44828E-05
pdr,IA,export,gvty,0.00011399
pdr,IA,export,shrs,0.000281883
pdr,KS,import,gvty,3.97392E-06
pdr,KS,import,shrs,2.09488E-05
pdr,KS,export,gvty,4.56517E-05
pdr,KS,export,shrs,7.52784E-05
pdr,KY,import,gvty,1.08468E-05
pdr,KY,import,shrs,2.98254E-05
pdr,KY,export,gvty,5.54572E-06
pdr,KY,export,shrs,1.77415E-05
pdr,LA,import,gvty,1.48512E-05
pdr,LA,import,shrs,5.94631E-05
pdr,LA,export,gvty,0.108539009
pdr,LA,export,shrs,0.052007322
pdr,LA,export,port,0.369567036
pdr,ME,import,gvty,6.04415E-06
pdr,ME,import,shrs,6.47358E-06
pdr,ME,export,gvty,5.954E-08
pdr,ME,export,shrs,2.57864E-07
pdr,MD,import,gvty,5.24412E-05
pdr,MD,import,shrs,4.05475E-05
pdr,MD,export,gvty,2.94117E-07
pdr,MD,export,shrs,2.59812E-06
pdr,MA,import,gvty,8.53454E-05
pdr,MA,import,shrs,5.43913E-05
